id,scam_flag,message
1,0,Alert: Homeowners insurance premium of $600 due April 15. Pay via our portal.
2,0,Auto-debit alert: Your Netflix subscription ($15) will be charged on April 12.
3,0,Electricity bill due April 10. Amount: $125. Pay to avoid late fees.
4,0,"Final notice: Electricity bill due tomorrow, April 10. Amount: $110. Pay now."
5,0,"Friendly reminder: Your rent payment of $1,200 is due on April 5. Please submit on time."
6,0,Gym renewal reminder: Pay $50 before April 16 to maintain access.
7,0,Health club membership renewal of $99 is due on April 13. Pay online.
8,0,Important: Your life insurance premium of $200 is due April 22. Pay promptly.
9,0,Internet bill unpaid. Due amount: $55. Pay by April 12 to avoid late charges.
10,0,Internet subscription renewal due on April 9. Pay $50 to continue your service.
11,0,Library fine of $10 is due April 9. Pay online to avoid penalties.
12,0,Loan repayment of $500 is due April 14. Pay via bank transfer.
13,0,"Monthly mortgage payment of $1,500 is due April 10. Pay to avoid penalties."
14,0,Reminder: Auto loan payment of $400 due April 15. Late fees apply if unpaid.
15,0,Reminder: Your car insurance premium of $80 is due soon. Pay by April 10.
16,0,Reminder: Your car loan installment of $300 is due on April 5. Pay to avoid penalties.
17,0,Reminder: Your magazine subscription of $20 is due April 8.
18,0,Reminder: Your phone bill of $45 is due on April 12. Pay via our app or website.
19,0,Statement Alert: Your credit card bill of $150 is due by April 8. Pay to avoid interest.
20,0,Streaming service charge of $18 due April 14. Auto-debit will apply.
21,0,Subscription alert: Your cloud storage plan of $5 is due on April 12.
22,0,Subscription renewal alert: Your antivirus plan will renew for $29 on April 8.
23,0,Utility bill reminder: Pay $75 for electricity before April 18.
24,0,Vehicle registration renewal fee of $75 is due April 19.
25,0,Water bill due April 18: $70. Pay online or at your nearest service center.
26,0,Water bill for account #6789 is due on April 15. Amount: $55. Please pay on time.
27,0,You have an outstanding balance of $35 for your water bill. Pay before April 17.
28,0,Your Amazon Prime subscription will renew on April 8 for $12.99. Cancel if needed.
29,0,Your bank loan installment of $850 is due April 20. Pay through net banking.
30,0,Your credit card bill payment is pending. Due date: April 10. Amount: $500.
31,0,Your electricity bill of $120 is due on April 10. Pay now to avoid late fees.
32,0,"Your gas bill for this month is $40, due April 14. Pay via your online account."
33,0,Your gas bill is overdue by 5 days. Amount: $38. Pay to avoid service interruption.
34,0,Your gym membership renewal fee of $45 is due on April 20. Pay online.
35,0,Your health insurance payment of $150 is due on April 20. Avoid policy lapse.
36,0,Your home insurance policy renewal of $450 is due on April 22.
37,0,Your home internet bill of $70 is due on April 7. Pay to avoid disconnection.
38,0,Your home loan EMI of $950 is due April 7. Pay via bank transfer or auto-debit.
39,0,Your internet bill of $60 is due in 3 days. Avoid service disruption by paying now.
40,0,Your mobile data plan will expire on April 10. Renew for $20 to continue service.
41,0,Your monthly cable bill of $30 is due April 15. Pay via mobile app.
42,0,Your monthly toll pass recharge of $30 is due on April 11. Recharge now.
43,0,Your parking permit renewal fee of $60 is due April 11.
44,0,Your phone service will be suspended if $65 is not paid by April 9.
45,0,Your phone service will be suspended if unpaid by April 15. Amount due: $40.
46,0,Your power bill of $130 is due April 12. Pay through our mobile app.
47,0,Your property tax of $500 is due next week. Avoid penalties by paying on time.
48,0,Your security system subscription of $25 is due April 10. Pay to avoid disruption.
49,0,Your streaming service bill of $20 is due tomorrow. Pay now.
50,0,Your student loan installment of $300 is due April 17. Pay now.
51,0,"Congratulations, Jane Doe! We’re offering you the HR Specialist role at Elite Enterprises. The starting salary is $58,000/year. Let us know your decision."
52,0,"Dear Alan, following your final interview, we are pleased to offer you the position of Financial Analyst at ABC Bank. Please find the contract attached."
53,0,"Dear Mathew, our team was impressed with your interview! We’re excited to offer you the Sales Associate position at Global Retail. Let us know if you accept by Monday."
54,0,"Dear Mathew, we reviewed your application for the Marketing Coordinator role at ABC Corp. We’d love to offer you the position! Please review the details and respond by Friday."
55,0,"Dear Mathew, we’d love to have you as part of our Hospitality Team at Grand Resorts. The job comes with full benefits. Let us know if you accept!"
56,0,"Dear Caroline, we’re excited to invite you to join our Teaching Assistant team at Greenfield Academy. Please let us know your decision by Friday."
57,0,"Dear Caroline, we’re excited to offer you the Social Media Manager role at TrendSetters. Let us know your availability for a call to discuss details."
58,0,"Dear Amy, we’re happy to offer you the Warehouse Associate role at Express Logistics. Your first shift is scheduled for April 10. Let us know if you accept!"
59,0,"Dear Amy, we’re offering you the internship position at Growth Marketing Inc. Please review the attached documents and confirm your acceptance."
60,0,"Dear Amy, we’re pleased to extend an offer for the Operations Associate role at Bright Logistics. Please confirm your acceptance to proceed with paperwork."
61,0,"Good news, Jane Doe! You’ve been selected for our Graduate Trainee Program at Delta Industries. Please review the contract and confirm your acceptance."
62,0,"Hello Rebecca, after reviewing your application, we’d like to offer you a remote position as a Virtual Assistant. Reply to receive the contract details."
63,0,"Hello John, based on your performance in the interview, we’d like to offer you the Legal Assistant role at Prestige Law Firm. Let us know your availability."
64,0,"Hello John, congratulations! We’re offering you the role of Digital Marketing Associate at BrandWorks. Let us know by April 7 if you accept."
65,0,"Hello John, we’re offering you a part-time role as a Research Assistant at City University. Reply to this email to confirm your acceptance."
66,0,"Hello John, we’re offering you a role as a Customer Service Representative at CallTech. Starting salary: $45,000/year. Let us know if you’d like to proceed."
67,0,"Hello John, we’re thrilled to offer you a role at Fresh Foods as an Assistant Manager. Reply by April 5 to proceed with onboarding."
68,0,"Hi Rebecca, congratulations! After careful consideration, we’re pleased to offer you the Software Engineer position at XYZ Tech. Let’s discuss next steps."
69,0,"Hi Josh, congratulations! We’d love to have you join our Engineering team at TechSolve Inc. Please review the contract and let us know if you have questions."
70,0,"Hi Josh, we’d like to offer you the remote Data Entry Specialist position. Training starts next week—please confirm if you're interested!"
71,0,"Hi Josh, we’d like to welcome you to the Technical Support team at Net Solutions. Your start date would be April 15. Please confirm your interest."
72,0,"Hi Josh, we’d love to welcome you as a Project Manager at Innovate Solutions! Your starting date would be May 1. Let us know if you accept."
73,0,"Hi Alan, we’re excited to offer you the UX Designer position at Creative Labs! Salary: $70,000/year. Let us know if you’d like to proceed."
74,0,"Hi Alan, your application for the Medical Receptionist role at HealthPlus was successful! We’d love to have you on board—please confirm your acceptance."
75,0,"Hi Alan, your skills match our open Content Writer position at Media House. We’d love to have you on board! Please review the offer letter."
76,0,"Dear Ava, your passport renewal appointment at the State Office is scheduled for April 4 at 8:30 AM. Please arrive on time."
77,0,"Dear Benjamin, your mortgage consultation with HomeFirst Loans is set for April 14 at 12:00 PM. Let us know if you need to change it."
78,0,"Dear Ella, your flu shot appointment at Metro Pharmacy is confirmed for April 24 at 9:00 AM. Bring your insurance card."
79,0,"Dear Noah, your family counseling session at Harmony Center is on April 27 at 5:30 PM. Let us know if you need to adjust the time."
80,0,"Dear Robert, this is a reminder of your eye exam at Vision First on April 7 at 4:00 PM. Contact us if you need to change your appointment."
